nb;time
7;1166
5;1224
2;1114
2;687
2;595
5;1169
9;1512
5;1400
8;1374
3;1326
2;815
3;1014
5;1579
1;987
6;1659
1;780
5;1941
4;1232
4;1039
6;1025
8;1212
5;1604
2;1011
3;796
2;905
5;1197
8;1206
3;1344
1;852
3;1314
9;1298
1;798
3;879
6;1325
2;742
7;1569
4;1317
4;783
5;1230
9;2210
9;745
6;1934
6;1007
9;2860
5;1710
8;1599
2;1054
7;1381
9;1651
7;1327
9;1695
1;1015
5;1424
9;1094
2;2328
6;1801
1;768
5;1339
5;2766
6;1928
2;1877
5;1668
3;5047
2;1119
5;1779
2;1890
5;1513
8;3295
4;1147
6;2107
9;2478
1;1275
8;3122
5;2125
5;1272
9;4256
6;2604
1;858
2;917
7;1813
3;1306
5;2483
1;2094
6;1598
6;1593
1;670
3;3360
5;3630
6;2592
4;2380
5;4626
3;1546
3;1190
8;4498
6;3590
1;1428
2;8228
4;1974
1;1298
3;1168
5;2300
4;1988
3;4783
5;2472
5;1069
5;889
2;680
8;1564
7;4911
9;2518
9;2894
5;1599
4;1062
3;969
2;593
9;1711
9;1575
4;1272
2;651
1;840
4;989
5;1193
1;588
3;712
7;897
5;746
1;652
4;721
8;1094
2;719
8;1313
1;548
8;1035
2;1085
7;1439
5;1071
3;1030
1;1616
3;3645
9;4648
5;2639
5;1775
9;2575
9;2607
5;1977
3;1344
1;751
5;1776
5;1208
2;2191
1;728
5;1559
3;1009
1;871
9;2367
6;1440
1;696
2;775
4;1368
7;2416
6;2240
8;2655
5;1864
8;2600
5;1736
6;1545
6;1798
7;2392
9;2536
4;2022
2;735
5;1649
7;2694
9;2672
3;1719
3;1603
6;2423
3;1032
6;1764
4;976
4;992
7;2079
7;1736
4;1140
8;4362
4;1162
1;852
6;1815
1;778
2;889
7;5132
5;1468
4;985
2;1882
9;4463
7;1723
1;855
8;2040
5;1403
3;897
9;2420
5;1304
1;765
4;839
3;936
1;610
1;566
9;2967
3;1563
9;2364
2;802
5;1327
5;1255
9;2246
4;1274
5;1390
8;2144
4;954
9;2288
3;1258
6;1617
3;1022
5;1226
8;2321
1;844
4;927
5;1303
1;620
5;1201
8;2195
2;916
4;911
7;1866
9;2021
7;2357
7;2037
5;1227
7;1565
9;3234
4;1138
5;1263
8;2157
4;1173
1;914
1;571
8;1973
1;700
4;998
6;2371
6;1543
3;6046
4;2084
3;799
5;3135
7;3001
5;2210
8;6827
9;5395
1;1305
4;2128
4;929
1;1277
4;885
5;1295
3;1468
1;893
5;1756
4;1422
5;1537
1;1316
5;1520
2;1041
